None,Hanes Women Assorted Pack of Two No Panty Line - Cotton Stretch Bikinis,http://www.myntra.com/briefs/hanes/hanes-women-assorted-pack-of-two-no-panty-line-cot/49997/buy,Rs. 249,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Hanes-Women-Pack-of-2-Briefs_529c07a484f07c51a9a7326876d6ea4b_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/briefs/hanes/hanes-women-assorted-pack-of-two-no-panty-line-cot/49997/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/>Say no to visible panty lines with this comfy <a href="../briefs">briefs</a> for women from <a href="../hanes">hanes</a>. Not <a href="../only">only</a> are they crafted from ultra-soft combed cotton for all-day comfort they're also tag-less! This is the right choice if you're wearing that new slinky dress or <a href="../formal-pants">formal pants</a>. <br/><br/><strong>Product Details</strong><br/>Set of two assorted briefs<br/>Low waist bikini briefs for women in stretchy cotton-spandex to <a href="../Fit">Fit</a> your curves<br/>Unique leg binding at the seams to eliminate visible panty lines<br/>Fabric covered non-binding Comfort Soft waistband<br/>Tagless with a printed inner<br/><br/>Note: The colour or print may vary from the images displayed<br/><strong><br/>Material and Care</strong><br/>95% combed cotton and 5% Spandex<br/>Machine wash warm with like colours<br/>Tumble dry low</p></li></ul>,25:02:2014,None
None,Lovable Set of 2 Teal Blue Bras CES 123,http://www.myntra.com/bra/lovable/lovable-set-of-2-teal-blue-bras-ces-123/95735/buy,Rs. 570,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Lovable-Teal-Blue-Bra-CES-123_0b44b4d1e6000c3e22909e089d8893e3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/bra/lovable/lovable-set-of-2-teal-blue-bras-ces-123/95735/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32B', '34B', '34C', '36B', '36C', '38B', '38C', '40B'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The Cotton Essensuals range of bras from Lovable is designed for the youth. This bra has soft, cotton rich fabric, seamless cups and firm under-cup support with a wide elasticated band. The low cut design makes it perfect for layering under fitted clothing.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article Number: CES 123<br/>Pack of two teal blue bras with bold low-cut design, has 'no show' seamless moulded cups provide smooth and streamlined contours, firm under-cup support with a wide elasticated band, piping on the neckline and armhole, slim and adjustable shoulder straps, printed label for tag-less comfort and three rows of double hook and eye closure at the back for adjustable fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Aneri Blue Printed Nightdress G13,http://www.myntra.com/nightdress/aneri/aneri-blue-printed-nightdress-g13/192778/buy,Rs. 1,199,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Aneri-Women-Nightdress_532f233bf4b75e19757c6da6f22a7c52_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/nightdress/aneri/aneri-blue-printed-nightdress-g13/192778/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Aneri offers you this nightdress to revel in the comfort of its comfortable fabric. The vibrant colour and rich embroidery easily impress with an ultra-feminine print combination. Wear it with flip flops for a slumber party with friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article number: G13<br/>Blue printed nightdress, woven, has a round neckline, contrast embroidery with mirror work around neck, and short hook and eye placket at chest, short sleeves with embroidered panels at cuffs, insert pocket at right waist, straight hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8'', chest 33" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Puma Women Grey Melange Lounge Pants,http://www.myntra.com/lounge-pants/puma/puma-women-grey-melange-lounge-pants/218466/buy,Rs. 1,699,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Puma-Women-Lounge-Pants_b0993a80215071ba5b91d4d17d6c81f4_images_1080_1440_mini.jpg,Rs. 1,999,None,women,http://www.myntra.com/lounge-pants/puma/puma-women-grey-melange-lounge-pants/218466/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stay stylish and comfortable on those laid-back weekends wearing these lounge pants from Puma. Team it with a bright coloured tee or a sweatshirt to look your relaxed best.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey melange lounge pants, knitted, panelled, has a broad elasticated waistband with drawstring fastening having metallic detail, insert pockets with stitch detail at either side of front waist, branding below left pocket, brand print detail at left side, branding below the waistband at right back , ribbed hems with gathers above</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 88% cotton, 12% polyester<br/>Rib: 98% cotton, 2% elastane<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Nike Women Black Legend 2.0 Training Track Pants,http://www.myntra.com/track-pants/nike/nike-women-black-legend-20-training-track-pants/108924/buy,Rs. 2,275,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Nike-Women-Black-Legend-20-Training-Track-Pants_20ef66b10b0f5147afabe122392bbbd4_images_1080_1440_mini.jpg,Rs. 2,395,None,women,http://www.myntra.com/track-pants/nike/nike-women-black-legend-20-training-track-pants/108924/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Nike's commitment towards a greener environment easily comes across through this pair of training pants - the brand recycles over 10 plastic bottles to give you one legendary bottom. Engineered for superior comfort, this pair uses Dri fit technology to pull away sweat and keep you dry and comfortable during your runs.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black training track pants, elasticated waist with pocket on the inside, flat locked seams and gusset at crotch, branding at waistband<br/>Warranty for manufacturing defects: 6 months (not valid on products with more than 20% discount)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>88% Polyester and 12% Elastane<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Tight fit<br/> The model (height 5'8" and waist 28") is wearing size S</p></li></ul>,25:02:2014,None
None,Nike Women Black Legend 2.0 Track Pants,http://www.myntra.com/track-pants/nike/nike-women-black-legend-20-track-pants/184372/buy,Rs. 1,895,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Nike-Women-Black-Legend-20-Track-Pants_497cc33071ae23908ea17c0d98eca7fc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/track-pants/nike/nike-women-black-legend-20-track-pants/184372/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Nike always achieves the perfect balance between performance and style. Engineered with special Dri-Fit technology, these slim fit track pants will have you looking and feeling good while you jog in the morning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black track pants, made with Dri-Fit and Stay cool technologies, knitted, flat lock stitch detail at seams, elasticated waistband with Nike swoosh embroidered on front left side, stylised yoke at back, double lined gusset at crotch<br/>Warranty: 6 months against manufacturing defects (not valid on products with more than 20% discount)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Body: 61% cotton, 33% polyester, 6% Spandex<br/>Gusset lining: 100% polyester <br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Slim fit<br/>The model (height 5'8" and waist 28") is wearing a size M</p></li></ul>,25:02:2014,None
None,Lovable White Bra,http://www.myntra.com/bra/lovable/lovable-white-bra/95703/buy,Rs. 320,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Lovable-Women-White-Bra_ed85845f596991f14dbd9f47e2e0eb5f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/bra/lovable/lovable-white-bra/95703/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32B', '34B', '34C', '36B', '36C', '38B', '38C', '40B'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from advanced thermo-set fabric, this brassiere from Lovable offers maximised support and a snug fit. A piece that helps you achieve the coveted seamless look with all your tees, this piece is a must for every girl's lingerie drawer.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White bra with, full coverage cups, lace inserts at the centre, fadjustable shoulder straps, three row hook closure at the back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Blended<br/> Hand wash cold</p></li></ul>,25:02:2014,None
None,Lovable Women Pink Bra,http://www.myntra.com/bra/lovable/lovable-women-pink-bra/95701/buy,Rs. 320,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Lovable-Women-Pink-Bra_ca5862b1720b9d440ec6d1787f71404f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/bra/lovable/lovable-women-pink-bra/95701/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32B', '34B', '34C', '36B', '36C', '38B', '38C', '40B'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from advanced thermo-set fabric, this brassiere from Lovable offers maximised support and a snug fit. A piece that helps you achieve the coveted seamless look with all your tees, this piece is a must for every girl's lingerie drawer.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink bra<br/>Adjustable shoulder straps<br/> Mesh panels in front<br/> Three rows of two hooks at back for snug fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Blended<br/> Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><br/></p></li></ul>,25:02:2014,None
None,Lovable Beige All Day Long Bra,http://www.myntra.com/bra/lovable/lovable-beige-all-day-long-bra/95714/buy,Rs. 295,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Lovable-Beige-All-Day-Long-Bra_e51fc26af49928c1f0f5f0ac78913d6c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/bra/lovable/lovable-beige-all-day-long-bra/95714/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32B', '34B', '34C', '36B', '36C', '38B', '38C', '40B'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Feel beautiful from within in these comfortable and feminine bra from Lovable. A must have in your exotic lingerie collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Muted gold bra, has full coverage cups with no cut along the centre, comfortable shoulder straps</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Blended<br/> Handwash separately</p></li></ul>,25:02:2014,None
None,Adidas Women Pink Track Pants,http://www.myntra.com/track-pants/adidas/adidas-women-pink-track-pants/235653/buy,Rs. 1,999,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Adidas-Women-Pink-Track-Pants_25dc97610c4dac7fc0f382c98f9d2b52_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/track-pants/adidas/adidas-women-pink-track-pants/235653/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of track pants by Adidas is made of ClimaLite cotton, which keeps you comfortable and dry in warm conditions. Match it with your favourite trainers and a tee for a super-stylish work out ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink track pants with ClimaLite technology, elasticated waistband with drawstring fastening, insert pockets at the sides, brand embroidery at left thigh, 3 stripes panelling down the sides, print detail below waistband at back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>61% cotton, 33% polyester and 6% elastane<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Slim fit<br/>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Lovable Mauve Bra,http://www.myntra.com/bra/lovable/lovable-mauve-bra/95710/buy,Rs. 399,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Lovable-Women-Purple-Bra_543d398b81f93a55fd2a1f90ae3a5ec4_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/bra/lovable/lovable-mauve-bra/95710/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32B', '34B', '34C', '36B', '36C', '38B'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Offering a fit that is almost like second skin, this brassiere from Lovable will keep you comfortable all day long. Uniquely fabricated with accommodative shirring flex, this piece will quickly become your favourite.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Lavender bra with, full coverage cups, ruching at the centre, fabric band at the underbust for support, adjustable shoulder straps, three row hook closure at the back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Blended<br/> Hand wash cold</p></li></ul>,25:02:2014,None
None,Puma Women Grey Melange Capris,http://www.myntra.com/lounge-pants/puma/puma-women-grey-melange-capris/197601/buy,Rs. 1,869,women-lingerie-sleepwear,Lingerie & Sleepwear,Red Rose,http://myntra.myntassets.com/images/style/properties/Puma-Women-Lounge-Pants_a127c96553c73f24e013b2a7937c0b22_images_1080_1440_mini.jpg,Rs. 2,199,None,women,http://www.myntra.com/lounge-pants/puma/puma-women-grey-melange-capris/197601/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make your fitness sessions and everyday outfits more stylish with these capris from Puma. They are comfortable and trendy which make them an absolute must-have this season. Team them with a racer back tank top and canvas trainers for an active day.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey melange capris with purple accents, knitted with dryCELL technology, elasticated waistband with drawstring fastening on front, insert pockets at front sides, embroidered branding below left pocket, brand tag below right pocket, textured panels at side legs, yoke at back, dryCELL printed below back yoke at left, panelled hems</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 65% cotton, 31% polyester, 4% elastane<br/>Inserts: 100% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8" and waist 28") is wearing a size 30</p></li></ul>,25:02:2014,None
